Unnamed: 0,Unnamed: 1,DATA,DATA.1
Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh)
0,1577836800000,0,1.509849
1,1577840400000,0,1.4118588
2,1577844000000,0,1.0238976
3,1577847600000,0,0.642
4,1577851200000,0,0.96
5,1577854800000,0.012,0.897
6,1577858400000,0.006,0.648
7,1577862000000,0.009000000000000001,0.774
8,1577865600000,0.012,1.299
9,1577869200000,0.846,0.606
10,1577872800000,0,0
11,1577876400000,0,0
12,1577880000000,0.651,0.396
13,1577883600000,0.363,0.615
14,1577887200000,0.303,1.419
15,1577890800000,0.159,1.437
16,1577894400000,0.081,3.105
17,1577898000000,0.006,-12.624
18,1577901600000,0,8.9298
19,1577905200000,0.021,2.2176
20,1577908800000,0.003,4.4286
21,1577912400000,0.003,6.789
22,1577916000000,0.006,1.806
23,1577919600000,0,0.9359063999999999
0,1577923200000,0,0.7339266
1,1577926800000,0,0.3079692
2,1577930400000,0,0.1979802
3,1577934000000,0,0.267
4,1577937600000,0,0.162
5,1577941200000,0.012,0.216
6,1577944800000,0.015,0.213
7,1577948400000,0,0.804
8,1577952000000,0.027,1.179
9,1577955600000,0.276,2.601
10,1577959200000,0.243,1.38
11,1577962800000,0.498,1.536
12,1577966400000,0.399,1.596
13,1577970000000,0.504,22.5
14,1577973600000,0.159,1.596
15,1577977200000,0.057,0.5640000000000001
16,1577980800000,0,5.562
17,1577984400000,0.015,1.389
18,1577988000000,0,13.233
19,1577991600000,0.018000000000000002,7.8672
20,1577995200000,0.012,2.6334
21,1577998800000,0.006,1.362
22,1578002400000,0.018000000000000002,1.5750000000000002
23,1578006000000,0,1.2018798
0,1578009600000,0,1.689
1,1578013200000,0,0.8679131999999999
2,1578016800000,0,0.4179582
3,1578020400000,0,0.28800000000000003
4,1578024000000,0,0.186
5,1578027600000,0.009000000000000001,0.47400000000000003
6,1578031200000,0.012,0.459
7,1578034800000,0.027,0.591
8,1578038400000,0.003,10.053
9,1578042000000,0.357,8.202
10,1578045600000,1.086,0.897
11,1578049200000,0.993,0.726
12,1578052800000,2.031,0.36
13,1578056400000,3.336,0.048
14,1578060000000,1.044,0.225
15,1578063600000,0.342,2.349
16,1578067200000,0.033,2.439
17,1578070800000,0.009000000000000001,2.169
18,1578074400000,0,4.8114
19,1578078000000,0.015,15.51
20,1578081600000,0,5.9796
21,1578085200000,0.018000000000000002,3.081
22,1578088800000,0.006,2.484
23,1578092400000,0,2.7825
0,1578096000000,0,1.7538246
1,1578099600000,0,0.889911
2,1578103200000,0,0.2919708
3,1578106800000,0,0.189
4,1578110400000,0,0.195
5,1578114000000,0.009000000000000001,0.47700000000000004
6,1578117600000,0.009000000000000001,0.228
7,1578121200000,0.012,5.256
8,1578124800000,0.003,2.481
9,1578128400000,0.201,0.5700000000000001
10,1578132000000,0.201,0.747
11,1578135600000,0.186,0.219
12,1578139200000,1.1219999999999999,0.462
13,1578142800000,0.885,0.20400000000000001
14,1578146400000,0.318,0.23700000000000002
15,1578150000000,0.18,0.354
16,1578153600000,0.033,0.609
17,1578157200000,0.015,0.309
18,1578160800000,0.003,0.6798000000000001
19,1578164400000,0.003,14.0184
20,1578168000000,0.006,3.0822
21,1578171600000,0.003,1.464
22,1578175200000,0,1.518
23,1578178800000,0,1.491
0,1578182400000,0,0.9819017999999999
1,1578186000000,0,0.659934
2,1578189600000,0,0.1319868
3,1578193200000,0,0.189
4,1578196800000,0,0.201
5,1578200400000,0.006,0.222
6,1578204000000,0.009000000000000001,0.588
7,1578207600000,0.015,2.643
8,1578211200000,0.003,1.461
9,1578214800000,0.006,0.465
10,1578218400000,0.291,0.243
11,1578222000000,0.372,0.234
12,1578225600000,1.005,0.20400000000000001
13,1578229200000,0.921,0.456
14,1578232800000,2.616,0.255
15,1578236400000,0.28800000000000003,0.234
16,1578240000000,0.039,0.561
17,1578243600000,0.012,0.468
18,1578247200000,0.009000000000000001,23.5224
19,1578250800000,0.006,2.673
20,1578254400000,0.006,2.9172000000000002
21,1578258000000,0,1.266
22,1578261600000,0.018000000000000002,1.236
23,1578265200000,0,0.8919108
0,1578268800000,0,1.287
1,1578272400000,0,4.6690000000000005
2,1578276000000,0,0.309969
3,1578279600000,0,0.201
4,1578283200000,0,0.195
5,1578286800000,0,1.017
6,1578290400000,0,0.579
7,1578294000000,0.012,0.333
8,1578297600000,0.003,0.72
9,1578301200000,0.684,0.798
10,1578304800000,1.407,0.291
11,1578308400000,1.494,0.906
12,1578312000000,1.854,0.627
13,1578315600000,1.38,0.9
14,1578319200000,0.465,0.909
15,1578322800000,0.342,0.258
16,1578326400000,0.036000000000000004,0.264
17,1578330000000,0.006,0.489
18,1578333600000,0,1.3134000000000001
19,1578337200000,0.006,22.407
20,1578340800000,0.003,4.6134
21,1578344400000,0.018000000000000002,1.971
22,1578348000000,0.012,2.061
23,1578351600000,0,1.169883
0,1578355200000,0,0.9859013999999999
1,1578358800000,0,0.8159183999999999
2,1578362400000,0,0.9119088
3,1578366000000,0,1.638
4,1578369600000,0,0.219
5,1578373200000,0.006,0.252
6,1578376800000,0.018000000000000002,0.267
7,1578380400000,0.018000000000000002,0.246
8,1578384000000,0.003,0.768
9,1578387600000,0.603,0.9570000000000001
10,1578391200000,0.96,0.5670000000000001
11,1578394800000,2.454,0.522
12,1578398400000,5.001,0.438
13,1578402000000,3.969,0.012
14,1578405600000,2.841,26.454
15,1578409200000,0.264,1.659
16,1578412800000,0.048,1.9649999999999999
17,1578416400000,0.009000000000000001,2.508
18,1578420000000,0.012,13.8732
19,1578423600000,0.009000000000000001,2.7786
20,1578427200000,0.015,1.8546
21,1578430800000,0.003,0.789
22,1578434400000,0.015,2.364
23,1578438000000,0,1.5765
0,1578441600000,0,1.5758424
1,1578445200000,0,0.389961
2,1578448800000,0,0.13398659999999998
3,1578452400000,0,0.198
4,1578456000000,0,0.183
5,1578459600000,0.018000000000000002,0.219
6,1578463200000,0.003,0.468
7,1578466800000,0.012,0.762
8,1578470400000,0,1.365
9,1578474000000,0.006,0.6900000000000001
10,1578477600000,0.15,0.6990000000000001
11,1578481200000,0.20700000000000002,0.54
12,1578484800000,0.312,0.5700000000000001
13,1578488400000,0.28200000000000003,1.554
14,1578492000000,0.186,0.444
15,1578495600000,0.063,1.839
16,1578499200000,0.033,0.768
17,1578502800000,0.009000000000000001,0.921
18,1578506400000,0,6.5604
19,1578510000000,0.018000000000000002,2.7126
20,1578513600000,0.006,2.6664
21,1578517200000,0.009000000000000001,9.222
22,1578520800000,0,1.221
23,1578524400000,0,1.5078492
0,1578528000000,0,0.9919007999999999
1,1578531600000,0,0.5419457999999999
2,1578535200000,0,0.1219878
3,1578538800000,0,0.186
4,1578542400000,0,0.228
5,1578546000000,0.006,0.459
6,1578549600000,0.009000000000000001,0.333
7,1578553200000,0.009000000000000001,0.588
8,1578556800000,0.006,1.896
9,1578560400000,0.009000000000000001,1.833
10,1578564000000,0.135,1.749
11,1578567600000,0.252,1.9889999999999999
12,1578571200000,0.435,0.558
13,1578574800000,0.249,0.786
14,1578578400000,0.21,0.561
15,1578582000000,0.048,0.537
16,1578585600000,0.033,0.36
17,1578589200000,0.012,0.582
18,1578592800000,0.006,3.168
19,1578596400000,0.009000000000000001,3.0162
20,1578600000000,0.006,2.2572
21,1578603600000,0.015,1.3679999999999999
22,1578607200000,0.006,1.383
23,1578610800000,0,0.7459254
0,1578614400000,0,0.7639235999999999
1,1578618000000,0,0.4479552
2,1578621600000,0,0.29797019999999996
3,1578625200000,0,0.20400000000000001
4,1578628800000,0,0.177
5,1578632400000,0.009000000000000001,0.21
6,1578636000000,0.006,0.324
7,1578639600000,0.012,0.837
8,1578643200000,0.009000000000000001,2.202
9,1578646800000,0.012,0.858
10,1578650400000,0.165,1.572
11,1578654000000,0.384,1.038
12,1578657600000,0.498,0.495
13,1578661200000,0.47400000000000003,0.555
14,1578664800000,0.396,0.528
15,1578668400000,0.27,2.7720000000000002
16,1578672000000,0.045,2.166
17,1578675600000,0.009000000000000001,0.459
18,1578679200000,0.012,13.728
19,1578682800000,0.015,3.5904
20,1578686400000,0.006,6.6726
21,1578690000000,0.015,2.748
22,1578693600000,0.006,2.892
23,1578697200000,0,1.9478052
0,1578700800000,0,1.9378061999999998
1,1578704400000,0,0.5359463999999999
2,1578708000000,0,0.29597039999999997
3,1578711600000,0,0.453
4,1578715200000,0,0.216
5,1578718800000,0.015,0.23700000000000002
6,1578722400000,0.006,0.216
7,1578726000000,0.021,0.624
8,1578729600000,0.012,3.63
9,1578733200000,0.165,8.646
10,1578736800000,0.324,0.5700000000000001
11,1578740400000,0.687,0.453
12,1578744000000,0.246,0.447
13,1578747600000,0.627,0.41400000000000003
14,1578751200000,0.582,2.334
15,1578754800000,0.186,1.1280000000000001
16,1578758400000,0.036000000000000004,0.678
17,1578762000000,0.018000000000000002,0.627
18,1578765600000,0.003,14.1372
19,1578769200000,0.003,3.1548
20,1578772800000,0.012,2.9568000000000003
21,1578776400000,0.012,6.066
22,1578780000000,0.015,1.8719999999999999
23,1578783600000,0,1.0118988
0,1578787200000,0,0.669933
1,1578790800000,0,1.1418858
2,1578794400000,0,1.1378862
3,1578798000000,0,0.426
4,1578801600000,0,0.189
5,1578805200000,0.006,0.213
6,1578808800000,0.003,0.20400000000000001
7,1578812400000,0.009000000000000001,0.507
8,1578816000000,0.012,1.833
9,1578819600000,0.582,0.6900000000000001
10,1578823200000,0.9510000000000001,0.444
11,1578826800000,3.315,0.387
12,1578830400000,5.214,46000
13,1578834000000,4.848,0.5730000000000001
14,1578837600000,0.777,0.459
15,1578841200000,0.41100000000000003,0.246
16,1578844800000,0.06,0.363
17,1578848400000,0.015,0.72
18,1578852000000,0.003,14.9358
19,1578855600000,0.012,4.0656
20,1578859200000,0,3.2142
21,1578862800000,0.006,1.518
22,1578866400000,0.015,1.623
23,1578870000000,0,1.1578842
0,1578873600000,0,1.6800000000000002
1,1578877200000,0,1.6558343999999998
2,1578880800000,0,0.1219878
3,1578884400000,0,0.183
4,1578888000000,0,0.19
5,1578891600000,0.009000000000000001,0.216
6,1578895200000,0.018000000000000002,0.225
7,1578898800000,0.018000000000000002,0.231
8,1578902400000,0.003,0.867
9,1578906000000,0.324,1.7429999999999999
10,1578909600000,1.1280000000000001,1.173
11,1578913200000,0.47400000000000003,0.552
12,1578916800000,0.33,0.441
13,1578920400000,0.5640000000000001,0.8280000000000001
14,1578924000000,0.195,1.338
15,1578927600000,0.084,1.26
16,1578931200000,0.036000000000000004,1.875
17,1578934800000,0,2.265
18,1578938400000,0.003,3.4386
19,1578942000000,0.015,11.2992
20,1578945600000,0,15.4242
21,1578949200000,0.009000000000000001,1.308
22,1578952800000,0.012,3.147
23,1578956400000,0,2.1977802
0,1578960000000,0,2.239776
1,1578963600000,0,0.8159183999999999
2,1578967200000,0,0.21997799999999998
3,1578970800000,0,0.309
4,1578974400000,0,0.324
5,1578978000000,0.003,0.579
6,1578981600000,0.012,0.225
7,1578985200000,0.015,0.23700000000000002
8,1578988800000,0.012,0.516
9,1578992400000,0,7.308
10,1578996000000,0.21,2.469
11,1578999600000,0.387,2.775
12,1579003200000,0.372,8.262
13,1579006800000,0.381,8.409
14,1579010400000,0.861,2.799
15,1579014000000,0.324,3.021
16,1579017600000,0.084,2.523
17,1579021200000,0,2.676
18,1579024800000,0.006,4.6068
19,1579028400000,0.003,3.1086
20,1579032000000,0.012,4.026
21,1579035600000,0.009000000000000001,1.935
22,1579039200000,0.009000000000000001,1.4849999999999999
23,1579042800000,0,1.1818818
0,1579046400000,0,0.909909
1,1579050000000,0,0.3119688
2,1579053600000,0,0.119988
3,1579057200000,0,0.198
4,1579060800000,0,0.21
5,1579064400000,0.009000000000000001,0.504
6,1579068000000,0.015,0.456
7,1579071600000,0.003,0.609
8,1579075200000,0.003,1.488
9,1579078800000,0.009000000000000001,0.462
10,1579082400000,0.34800000000000003,0.24
11,1579086000000,0.417,0.252
12,1579089600000,0.333,0.228
13,1579093200000,0.33,0.489
14,1579096800000,0.372,0.327
15,1579100400000,0.08700000000000001,0.354
16,1579104000000,0.069,0.369
17,1579107600000,0.012,0.6000000000000001
18,1579111200000,0.009000000000000001,5.1282
19,1579114800000,0.003,2.6136
20,1579118400000,0.012,6.8046
21,1579122000000,0.009000000000000001,3.012
22,1579125600000,0,2.817
23,1579129200000,0,0.789921
0,1579132800000,0,0.8339166
1,1579136400000,0,0.389961
2,1579140000000,0,0.1979802
3,1579143600000,0,0.28800000000000003
4,1579147200000,0,0.28800000000000003
5,1579150800000,0.003,0.219
6,1579154400000,0,0.213
7,1579158000000,0,0.837
8,1579161600000,0.009000000000000001,1.815
9,1579165200000,0.453,0.258
10,1579168800000,1.245,0.20400000000000001
11,1579172400000,3.747,0.153
12,1579176000000,5.025,0.459
13,1579179600000,0.894,0.447
14,1579183200000,3.12,0.117
15,1579186800000,0.387,8.253
16,1579190400000,0.105,0.261
